"","I","L","SNR","ci_width","samp","t.rho","seeds","samp.1"
"69",100,50,0.2,0.542058135554754,0.392829770563497,0,747732,0.392829770563497
"70",200,50,0.2,0.390076629454271,0.27442383953099,0,864017,0.27442383953099
"71",100,50,0.2,0.582118721414827,0.364926268229354,0.5,867118,0.364926268229354
"72",200,50,0.2,0.331118140853638,0.238743412023617,0.5,332707,0.238743412023617
"73",100,50,0.1,1.53262746761186,0.385028918724065,0,506734,0.385028918724065
"74",200,50,0.1,1.03907286974762,0.277326001008814,0,163678,0.277326001008814
"75",100,50,0.1,0.979834845733571,0.389293493132527,0.5,933656,0.389293493132527
"76",200,50,0.1,0.407421192529866,0.24470894946382,0.5,25559,0.24470894946382
"77",100,50,0.2,0.582789021918881,0.3906842299696,0,669575,0.3906842299696
"78",200,50,0.2,0.41291481474972,0.277116169245137,0,800719,0.277116169245137
"79",100,50,0.2,0.468606980105507,0.332682708529951,0.5,416410,0.332682708529951
"80",200,50,0.2,0.404113280229855,0.255939581210471,0.5,352238,0.255939581210471
"81",100,50,0.1,1.53033144105715,0.37941245831056,0,952480,0.37941245831056
"82",200,50,0.1,1.41256566857333,0.276027329230658,0,407707,0.276027329230658
"83",100,50,0.1,0.977528915254098,0.381045663541432,0.5,607237,0.381045663541432
"84",200,50,0.1,0.577006902104219,0.258650584648047,0.5,339728,0.258650584648047
"85",100,50,0.2,0.582334195344654,0.391261355278162,0,507680,0.391261355278162
"86",200,50,0.2,0.411266072589327,0.276481619393608,0,302647,0.276481619393608
"87",100,50,0.2,0.422913006333708,0.328161653335252,0.5,690084,0.328161653335252
"88",200,50,0.2,0.33702104337287,0.238630074736653,0.5,759022,0.238630074736653
"89",100,50,0.1,1.40295465244474,0.391619297075305,0,741373,0.391619297075305
"90",200,50,0.1,0.909815306019493,0.27720494657497,0,148441,0.27720494657497
"91",100,50,0.1,1.62885380916266,0.384629695336434,0.5,424758,0.384629695336434
"92",200,50,0.1,0.81544494872929,0.267559345297226,0.5,626825,0.267559345297226
"93",100,50,0.2,0.57861918797017,0.387697801048056,0,452322,0.387697801048056
"94",200,50,0.2,0.389581100237394,0.277152708100612,0,171704,0.277152708100612
"95",100,50,0.2,0.573991363798365,0.367836484719816,0.5,227183,0.367836484719816
"96",200,50,0.2,0.345531780498458,0.257276745678858,0.5,436420,0.257276745678858
"97",100,50,0.1,0.924954673603262,0.39217882864953,0,37544,0.39217882864953
"98",200,50,0.1,0.885360105996889,0.277236705519551,0,915038,0.277236705519551
"99",100,50,0.1,1.4282295472691,0.388007028195935,0.5,230361,0.388007028195935
"100",200,50,0.1,0.629297490025804,0.261275431635282,0.5,346571,0.261275431635282
"101",200,50,0.2,0.362235019518565,0.245551142645228,0.5,453073,0.245551142645228
"102",200,100,0.2,0.274250935723135,0.226967221090924,0.5,751684,0.226967221090924
"103",100,100,0.1,0.760872453142029,0.38408645017063,0,445602,0.38408645017063
"104",200,100,0.1,0.61699510660528,0.277418445386721,0,906113,0.277418445386721
"105",100,100,0.1,0.5660628322509,0.339817582516835,0.5,254154,0.339817582516835
"106",200,100,0.1,0.368370079733016,0.236127308125172,0.5,691496,0.236127308125172
"107",100,100,0.2,0.481407476378795,0.383226754692457,0,978985,0.383226754692457
"108",200,100,0.2,0.329718244951192,0.270878254270229,0,439731,0.270878254270229
"109",100,100,0.2,0.389019732024331,0.321804545523105,0.5,242163,0.321804545523105
"110",200,100,0.2,0.256437302015021,0.218971805578319,0.5,185111,0.218971805578319
"111",100,100,0.1,0.850293482673525,0.389199467017302,0,540043,0.389199467017302
"112",100,50,0.1,1.2137702947188,0.38876027463768,0,26234,0.38876027463768
"113",200,100,0.1,0.514389789528217,0.275052793602297,0,442182,0.275052793602297
"114",100,100,0.1,0.687053496914604,0.363358080683698,0.5,963871,0.363358080683698
"115",200,100,0.1,0.496372138356691,0.273559095218394,0.5,810883,0.273559095218394
"116",100,100,0.2,0.478381673108295,0.387517892466131,0,790417,0.387517892466131
"117",200,100,0.2,0.332899454509547,0.277227730139326,0,929887,0.277227730139326
"118",100,100,0.2,0.472495861836079,0.382268213550286,0.5,476610,0.382268213550286
"119",200,100,0.2,0.279132038830009,0.232398763255419,0.5,584312,0.232398763255419
"120",100,100,0.1,1.1439615745711,0.391670318631745,0,804431,0.391670318631745
